#######################
# 09/23/2020 12:40:18 #
#######################
acl 2.2.53-3
libxfce4util 4.14.0-2
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.0.1-1
libxkbcommon-x11 1.0.1-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
licenses 20200427-1
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-1
lightdm-gtk-greeter-settings 1.2.2-4
linux 5.8.10.arch1-1
linux-api-headers 5.8-1
linux-firmware 20200817.7a30af1-1
linux-headers 5.8.10.arch1-1
linux-lts 5.4.66-1
linux-lts-headers 5.4.66-1
llvm-libs 10.0.1-3
lm_sensors 3.6.0-2
luajit 2.0.5-3
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
mesa 20.1.8-1
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-2
mobile-broadband-provider-info 20190618-2
mpfr 4.1.0-1
msgpack-c 3.3.0-1
mtdev 1.1.6-1
nano 5.2-1
ncurses 6.2-1
neofetch 7.1.0-1
neovim 0.4.4-1
nettle 3.6-1
networkmanager 1.26.2-1
nitrogen 1.6.1-3
npth 1.6-2
nspr 4.29-1
nss 3.57-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openssl 1.1.1.g-2
opus 1.3.1-2
os-prober 1.77-2
p11-kit 0.23.21-1
pacman 5.2.2-1
pacman-mirrorlist 20200920-1
pam 1.4.0-3
pambase 20200721.1-2
pango 1:1.46.2-1
pangomm 2.42.1-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
perl-uri 1.76-4
picom 8.1-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.117-1
popt 1.18-1
procps-ng 3.3.16-2
psmisc 23.3-2
pygobject-devel 3.36.1-1
python 3.8.5-2
python-gobject 3.36.1-1
rav1e 0.3.4-1
readline 8.0.004-1
rest 0.8.1-3
scrot 1.4-1
sdl2 2.0.12-2
sed 4.8-1
shadow 4.8.1-4
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.33.0-2
srt 1.4.1-2
startup-notification 0.12-7
sudo 1.9.2-1
sysfsutils 2.1.0-11
